"id","source_row_numbers","name","types","vat_id","address_street","address_zip","address_city","address_country","channels_json","business_relationship_json","tags_json","memo","notes"
"bp-0001","2;3;4;5","AOK Rheinland/Hamburg - Die Gesundheitskasse","company","DE207055164","Bereich Human Resources","41515","Grevenbroich","DE","[{""type"":""website"",""address"":""http://www.aok.de""},{""type"":""email"",""address"":""aok@rh.aok.de""},{""type"":""phone"",""address"":""+49 211 81950000""}]","[]","[]","hausinternes Seminar: Zu Ihrer Frage: wenn nur 15 TNs bei dem Seminar teilnehmen beträgt mein Honorar 2500 und pro Teilnehnehmerin, die darüber hinaus teilnimmt, kämen dann 60 Euro hinzu, 500 RK-Pauschale

eigentlich 1600 Euro pro Tag, da aber 18-20 TN teilnehmen werden 1800 pro Tag, Frau Benscheidt hat dem per Mail am 27.01.25 zugestimmt, 1800 mal 3 macht 5400",""
"bp-0002","6","AOK Rheinland/Hamburg - Die Gesundheitskasse","","DE207055164","Kasernenstraße 61","40213","Düsseldorf","DE","[]","[]","[]","",""
"bp-0003","7","Akademie Deutscher Genossenschaften e.V.","company","DE149338636","Schloss Montabaur","56410","Montabaur","DE","[{""type"":""email"",""address"":""andrea@work-with-ease.eu""}]","[]","[]","",""
"bp-0004","8","Unbenannter GP 7","","","","","","","[]","[]","[]","",""
"bp-0005","9;10;11","Akademie des Handwerks","company","DE126113457","Freiheit 25-27","46346","Raesfeld","DE","[]","[]","[]","ab 2025 anderes Honorar, abgesprochen mit Schulze-Icking 04.09.25, 1150",""
"bp-0006","12","Unbenannter GP 11","","","","","","","[{""type"":""website"",""address"":""https://courage-coaching.com/""}]","[]","[]","",""
"bp-0007","13;14;15","Arbeiter-Samariter-Bund Sozialeinrichtungen GmbH","company","","Heidenkampsweg 81","20097","Hamburg","DE","[{""type"":""website"",""address"":""http://www.asb-hamburg.de""}]","[]","[]","",""
"bp-0008","16;17","Athenas GmbH","company","DE295304285","Fackenburger Allee 53","23554","Lübeck","DE","[{""type"":""website"",""address"":""http://www.athenas.de/""},{""type"":""email"",""address"":""fele@athenas.de""},{""type"":""phone"",""address"":""+49 451 81189006""}]","[]","[]","",""
"bp-0009","18;21","B & L Hamburg Berlin Bauträger GmbH","company","DE118531561","B & L Real Estate GmbH","22767","Hamburg","DE","[{""type"":""website"",""address"":""http://www.bl-gruppe.de""},{""type"":""email"",""address"":""info@bl-gruppe.de""},{""type"":""phone"",""address"":""+49 40 37660100""}]","[]","[]","Für den ersten Präsentationstermin am 04.02. waren 600 Euro inkl. Vor- und Nachbereitung vereinbart",""
"bp-0010","19","Unbenannter GP 18","","","","","","","[]","[]","[]","",""
"bp-0011","20","Unbenannter GP 19","","","","","","","[]","[]","[]","",""
"bp-0012","22","BLUE VOICE MUSIC","company","","Bahnhofstraße 85","21629","Neu Wulmstorf","DE","[{""type"":""website"",""address"":""http://www.bluevoice-music.com""},{""type"":""email"",""address"":""daniela.steigel@bluevoice-music.com""},{""type"":""phone"",""address"":""+49 179 9147286""}]","[]","[]","Telefonat mit Frau Steigel als Rednerin auf dem ADG Forum August 2025, 1000 Euro zzgl. Übernachtung und Fahrtkosten",""
"bp-0013","23;24","BLUE VOICE MUSIC","company","","","","","","[]","[]","[]","",""
"bp-0014","25;27","Berliner Stadtgüter GmbH","company","DE137228661","Frankfurter Allee 73 C","10247","Berlin","DE","[{""type"":""website"",""address"":""http://berlinerstadtgueter.de""},{""type"":""phone"",""address"":""+49 30 467940""}]","[]","[]","",""
"bp-0015","26","Unbenannter GP 25","","","","","","","[]","[]","[]","",""
"bp-0016","28;29;30","Berufsförderungsinstitut Wien","company","ATU36824503","Alfred-Dallinger-Platz 1","1030","Wien","AT","[{""type"":""website"",""address"":""https://www.bfi.wien/""},{""type"":""phone"",""address"":""+43 811 78 - 0""}]","[]","[]","1800 Euro für 6 Module á 1,5 Std.",""
"bp-0017","31;32","Beutenberg-Campus Jena e.V.","company","","Hans-Knöll-Straße 1","07745","Jena","DE","[]","[]","[]","",""
"bp-0018","33;34","Bildungswerk der Bayrischen Wirtschaft e.V.","company","DE206362413","Infanteriestraße 8","80797","München","","[{""type"":""email"",""address"":""bbwev@bbw.de""},{""type"":""phone"",""address"":""+49 89 44108100""}]","[]","[]","",""
"bp-0019","35;36;37","Business First Consulting GmbH","company","DE342999191","Bansenstraße 7","21075","Hamburg","DE","[{""type"":""website"",""address"":""http://businessfirstconsulting.de""},{""type"":""phone"",""address"":""+49 40 37612318""}]","[]","[]","",""
"bp-0020","38;39;40","Charité – Universitätsmedizin Berlin","company","DE 228847810","Charitéplatz 1","10117","Berlin","DE","[]","[]","[]","",""
"bp-0021","41","Christina Winter","company","","","","","","[{""type"":""website"",""address"":""https://designerseits.de/""},{""type"":""email"",""address"":""info@designerseits.de""}]","[]","[]","",""
"bp-0022","42;44","Christophorus-Werk Lingen e.V.","company","DE117332003","Dr.-Lindgen-Str. 5 - 7","49809","Lingen","DE","[{""type"":""website"",""address"":""http://www.gemeinsam-vielfalt-leben.de""},{""type"":""phone"",""address"":""+49 591 9142404""}]","[]","[]","",""
"bp-0023","43","Unbenannter GP 42","","","","","","","[]","[]","[]","",""
"bp-0024","45;46","Cornelia Mihic","company","","","","","","[]","[]","[]","",""
"bp-0025","47;48","DFH ARE GmbH","company","DE811121182","Aachener Straße 75","50931","Köln","DE","[{""type"":""website"",""address"":""http:// www.dfh-group.de""}]","[]","[]","",""
"bp-0026","50","Deutsche Institution für Schiedsgerichtsbarkeit e. V. (DIS)","company","","Marienforster Str. 52","53177","Bonn","DE","[]","[]","[]","",""
"bp-0027","51","Deutsche Institution für Schiedsgerichtsbarkeit e. V. (DIS)","","","","","","","[]","[]","[]","",""
"bp-0028","52;53","EMSCHERGENOSSENSCHAFT / LIPPEVERBAND","company","DE 119 823 752","Kronprinzenstr. 24","45128","Essen","","[{""type"":""website"",""address"":""https://www.eglv.de/""},{""type"":""phone"",""address"":""+49 201 1040""}]","[]","[]","Rechnungsadresse: EG-Rechnung@eglv.de",""
"bp-0029","54;55","ENGIE GmbH","company","DE811124529","","","","DE","[]","[]","[]","",""
"bp-0030","56","Elbkinder Vereinigung Hamburger Kitas gGmbH","company","DE232832946","Jarrestr. 59","22303","Hamburg","DE","[{""type"":""website"",""address"":""http://www.elbkinder-kitas.de""},{""type"":""phone"",""address"":""+49 40 421090""}]","[]","[]","H",""
"bp-0031","57;58","ElringKlinger AG","company","DE147325754","Max-Eyth-Straße 2","72581","Dettingen/Erms","DE","[{""type"":""website"",""address"":""https://elringklinger.de/""}]","[]","[]","",""
"bp-0032","59","Euler Hermes Aktiengesellschaft","company","DE292309546","HR People CoE","22761","Hamburg","DE","[{""type"":""website"",""address"":""https://www.exportkreditgarantien.de/de""}]","[]","[]","",""
"bp-0033","60;62;63;64;65","Euler Hermes Deutschland/Niederlassung der Euler Hermes SA","company","DE815517982","Gasstr. 29","22761","Hamburg","DE","[]","[]","[]","",""
"bp-0034","61","Unbenannter GP 60","","","","","","","[]","[]","[]","",""
"bp-0035","66;67","Evangelisch-Lutherischer Kirchenkreis Hamburg Ost","company","","Steindamm 55","20099","Hamburg","DE","[{""type"":""website"",""address"":""http://www.kirche-hamburg-ost.de""}]","[]","[]","",""
"bp-0036","68;69","Ewald Hollmann GmbH Elektroinstallation","company","DE124656743","Spicherner Str. 42","44149","Dortmund","DE","[{""type"":""website"",""address"":""http://www.hollmann-elektrotechnik.de""},{""type"":""email"",""address"":""info@hollmann-elektrotechnik.de""},{""type"":""phone"",""address"":""+49 231 9172730""}]","[]","[]","",""
"bp-0037","70;72","FORUM · Institut für Management GmbH","company","DE 143458633","Vangerowstraße 18","69115","Heidelberg","DE","[{""type"":""website"",""address"":""http://www.forum-institut.de/""}]","[]","[]","",""
"bp-0038","71","Unbenannter GP 70","","","","","","","[]","[]","[]","",""
"bp-0039","73","FORUM • Institut für Management","company","","Vangerowstraße 18","69115","Heidelberg","DE","[{""type"":""website"",""address"":""http://forum-institut.de""},{""type"":""phone"",""address"":""+49 6221 500500""}]","[]","[]","Honorar 500, zzgl. 350 RK-Pauschale",""
"bp-0040","74;75;76","FRIEDRICH-SCHILLER-UNIVERSITÄT JENA","company","DE150546536","Fürstengraben 1","07743","Jena","DE","[{""type"":""website"",""address"":""http://www.uni-jena.de""}]","[]","[]","",""
"bp-0041","77;78","FSU Jena","company","","","","","","[]","[]","[]","",""
"bp-0042","79;80;81;82","Fachverband des Tischlerhandwerks Nordrhein-Westfalen","company","","Kreuzstraße 108 – 110","44137","Dortmund","DE","[{""type"":""website"",""address"":""https://tischler.nrw/""},{""type"":""phone"",""address"":""+49 231 91201042""}]","[]","[]","1500 pro Tag zzgl. Reisekosten",""
"bp-0043","83;84","Forum Verlag Herkert","company","DE814199175","Mandichostraße 18","86504","Merching","US","[{""type"":""website"",""address"":""http://forum-verlag.com""},{""type"":""phone"",""address"":""+49 8233 381123""}]","[]","[]","",""
"bp-0044","85;86","Frank Handwerk","company","","Heselstücken 8","22453","Hamburg","DE","[]","[]","[]","",""
"bp-0045","87;88","Fraunhofer IESE","company","DE129515865","Fraunhofer-Platz 1","67663","Kaiserslautern","DE","[]","[]","[]","",""
"bp-0046","89;90","Friedrich Ebert Stiftung e.V.","company","","","","","","[]","[]","[]","",""
"bp-0047","91;92","Für Garderobe keine Haftung GbR","company","DE293700326","Dotzheimer Str. 106","65197","Wiesbaden","","[{""type"":""phone"",""address"":""+49 611 95017203""}]","[]","[]","Heidi hatte was von 4000 Euro zzgl.. Fahrtkosten gesagt",""
"bp-0048","93;95;96;97","GLS Gemeinschaftsbank eG","company","DE 124090847","Christstraße 9","44774","Bochum","DE","[{""type"":""website"",""address"":""https://www.gls.de""},{""type"":""email"",""address"":""gls-akademie@gls.de""},{""type"":""phone"",""address"":""+49 234 5797100""}]","[]","[]","Tagessatz: 2.400 Euro",""
"bp-0049","94","Unbenannter GP 93","","","","","","","[]","[]","[]","",""
"bp-0050","98","GLS Gemeinschaftsbank eG","","DE124090847","Christstraße 9","44774","Bochum","DE","[]","[]","[]","",""
"bp-0051","99;100","Generalzolldirektion","company","","Václav-Havel-Platz 6","53121","Bonn","DE","[{""type"":""website"",""address"":""https://www.zoll.de""},{""type"":""email"",""address"":""interne-revision.gzd@zoll.bund.de""},{""type"":""phone"",""address"":""+49 228 30311406""}]","[]","[]","",""
"bp-0052","101;102","Gewerkschaft Erziehung und Wissenschaft","company","","Lübecker Str. 265A","19059","Schwerin","DE","[{""type"":""website"",""address"":""http://www.gew-mv.de/""}]","[]","[]","",""
"bp-0053","103;105","Gleiss Lutz Hootz Hirsch PartmbB Rechtsanwälte,Steuerberater","company","DE147522069","Lautenschlagerstraße 21","70173","Stuttgart","DE","[{""type"":""website"",""address"":""http://www.gleisslutz.com""}]","[]","[]","",""
"bp-0054","104","Unbenannter GP 103","","","","","","","[]","[]","[]","",""
"bp-0055","106","Unbenannter GP 105","","","","","","","[]","[]","[]","",""
"bp-0056","107;108","Grell & Kröncke GmbH","company","DE315913395","Neuer Wall 84","20354","Hamburg","DE","[{""type"":""website"",""address"":""https://www.grell-kroencke.de/""},{""type"":""email"",""address"":""mail@grell-kroencke.de""},{""type"":""phone"",""address"":""+49 40 22633460""}]","[]","[]","Angebot Trello-Training 1 Tag, 1800 Euro",""
"bp-0057","109;110;111;112","HAUB & PARTNER GmbH","company","DE118710006","Düsseldorfer Str. 36","65760","Eschborn","DE","[{""type"":""website"",""address"":""http://www.haub-seminare.de/""}]","[]","[]","",""
"bp-0058","113;114","HIE Hamburg Invest Entwicklungsgesellschaft mbH & Co. KG","company","DE314337012","Wexstr. 7","20355","Hamburg","DE","[{""type"":""website"",""address"":""http://www.hamburg-invest.com""},{""type"":""email"",""address"":""info@hamburg-invest.com""},{""type"":""phone"",""address"":""+49 40 2270190""}]","[]","[]","",""
"bp-0059","115;116","Hamburg Marketing GmbH","company","DE235323314","Wexstraße 7","20355","Hamburg","DE","[{""type"":""website"",""address"":""https://marketing.hamburg.de/""},{""type"":""email"",""address"":""info@marketing.hamburg.de""},{""type"":""phone"",""address"":""+49 40 411110638""}]","[]","[]","",""
"bp-0060","117;118","Hamburger Allianz für Social Entrepreneurship e.V.","company","","c/o betahaus I Schanze","22769","Hamburg","DE","[{""type"":""website"",""address"":""https://socialentrepreneurship.hamburg/""}]","[]","[]","",""
"bp-0061","119","Hasan","","","","","","","[{""type"":""email"",""address"":""hasanchaudharyy@gmail.com""},{""type"":""phone"",""address"":""+92 313 6252524""}]","[]","[]","",""
"bp-0062","120;122","Heidelberg Materials AG","company","","Zementwerk Ennigerloh/Werkleitung","59320","Ennigerloh","DE","[{""type"":""website"",""address"":""http://heidelbergmaterials.de""},{""type"":""email"",""address"":""sabine.schaefer@heidelbergmaterials.com""},{""type"":""phone"",""address"":""+49 2524 2951201""}]","[]","[]","",""
"bp-0063","121","Unbenannter GP 120","","","","","","","[]","[]","[]","",""
"bp-0064","123;125","Hermann Bantleon GmbH","company","DE147028080","Blaubeurer Str. 32","89077","Ulm","DE","[{""type"":""website"",""address"":""http://www.bantleon.de""},{""type"":""email"",""address"":""info@bantleon.de""},{""type"":""phone"",""address"":""+49 4973 139900""}]","[]","[]","2000 Euro für 3 Std. online",""
"bp-0065","124","Unbenannter GP 123","","","","","","","[]","[]","[]","",""
"bp-0066","126;127","Hochschule für bildende Künste","company","DE296835711","Lerchenfeld 2","22081","Hamburg","DE","[{""type"":""website"",""address"":""http://www.hfbk-hamburg.de""},{""type"":""phone"",""address"":""+49 40 428989-203""}]","[]","[]","",""
"bp-0067","128;129","Holzbau Wörndl","company","DE155091408","Gewerbegebiet Natzing 7","","Eggstätt","DE","[{""type"":""website"",""address"":""http://holzbau-woerndl.de""},{""type"":""email"",""address"":""info@holzbau-woerndl.de""},{""type"":""phone"",""address"":""+49 8056 90490""}]","[]","[]","",""
"bp-0068","130;131","Humboldt-Universität zu Berlin","company","DE137176824","Unter den Linden 6","10099","Berlin","DE","[{""type"":""website"",""address"":""https://bwb.hu-berlin.de""}]","[]","[]","",""
"bp-0069","132","InfraServ GmbH & Co. Wiesbaden KG","company","DE812134836","Rechnungsprüfung","65203","Wiesbaden","DE","[{""type"":""website"",""address"":""https://www.infraserv-wi.de/de/startseite.html""}]","[]","[]","Honorar: 250 EuroBestellnummer Projekt Digitale Ablage Energie und Medien: 4510085890Lieferantennummer: 50006608",""
"bp-0070","133","Unbenannter GP 132","","","","","","","[]","[]","[]","",""
"bp-0071","134","Unbenannter GP 133","","","","","","","[]","[]","[]","",""
"bp-0072","135","InfraServ GmbH & Co. Wiesbaden KG","","DE812134836","Rechnungsprüfung","65174","Wiesbaden","DE","[]","[]","[]","",""
"bp-0073","136","Unbenannter GP 135","","","Böblinger Str. 231","70199","Stuttgart","DE","[{""type"":""website"",""address"":""http://www.inkenhaefele.de""}]","[]","[]","",""
"bp-0074","137","KONE AG","company","DE114107702","Vahrenwalder Str. 317","30179","Hannover","DE","[]","[]","[]","",""
"bp-0075","138","KOPF, HAND + FUSS gemeinnützige Gesellschaft für Bildung mbH","company","","Oudenarder Str. 16","13347","Berlin","DE","[]","[]","[]","",""
"bp-0076","139","KOPF, HAND und FUSS gemeinnützige Gesellschaft für Bildung mbH","company","","Ludwigkirchstr. 2","10719","Berlin","DE","[{""type"":""website"",""address"":""http://www.kopfhandundfuss.de""},{""type"":""email"",""address"":""info@kopfhandundfuss.de""},{""type"":""phone"",""address"":""+49 30 22453461""}]","[]","[]","",""
"bp-0077","140","KOPF","","","Ludwigkirchstr. 2","10719","Berlin","DE","[]","[]","[]","",""
"bp-0078","141","KPV GmbH","company","","Neugartenstr. 12","96114","Hirschhaid","DE","[]","[]","[]","120 pro Stunde",""
"bp-0079","143;144;145;146;147;148","Kommunalservice Jena","company","DE150546569","Löbstedter Str. 56","07749","Jena","DE","[{""type"":""website"",""address"":""http://ksj.jena.de""},{""type"":""email"",""address"":""ksj@jena.de""},{""type"":""phone"",""address"":""+49 3641 49890""}]","[]","[]","Honorar 1500 pro Tag, 450 Reisekosten",""
"bp-0080","150;151","MackelSiemers GmbH & Co. KG","company","DE300673946","Contrescarpe 8c","28203","Bremen","DE","[{""type"":""website"",""address"":""https://www.mackelsiemers.de/""},{""type"":""phone"",""address"":""+49 421 40895781""}]","[]","[]","",""
"bp-0081","152","Management Circle","company","","","","","DE","[]","[]","[]","",""
"bp-0082","153;154","Marketing-, Einkaufs- und Serviceverbund für Badspezialisten GmbH","company","DE813089166","Postfach 16 23","71206","Leonberg","DE","[]","[]","[]","5% des Umsatzes gehen an Mein Bad",""
"bp-0083","155","Mathias Heidi hm creative consulting","company","DE248970994","Rüdesheimer Str. 24","65197","Wiesbaden","DE","[{""type"":""website"",""address"":""http://www.heidi-mathias.de""},{""type"":""email"",""address"":""info@heidi-mathias.de""},{""type"":""phone"",""address"":""+49 611 2049471""}]","[]","[]","",""
"bp-0084","156","Max Mustermann GmbH","","","Musterstr. 3","22299","Hamburg","AT","[]","[]","[]","",""
"bp-0085","157;158","Merck Healthcare KGaA","company","DE811850788","Frankfurter Str. 250","64293","Darmstadt","DE","[{""type"":""email"",""address"":""service@merckgroup.com""},{""type"":""phone"",""address"":""+49 4961 51720""}]","[]","[]","",""
"bp-0086","159;160","Merck KGaA","company","DE811850788","Frankfurter Str. 250","64239","Darmstadt","DE","[{""type"":""website"",""address"":""https://www.merckgroup.com/de""}]","[]","[]","",""
