"contact_id","gp_id","role","primary","source_row_number"
"contact-0001","bp-0001","contact_person","true","3"
"contact-0002","bp-0001","contact_person","true","4"
"contact-0003","bp-0001","Führung 2","true","5"
"contact-0004","bp-0002","contact_person","true","6"
"contact-0005","bp-0005","Fachkraft","true","10"
"contact-0006","bp-0005","Assistenz","true","11"
"contact-0007","bp-0006","contact_person","true","12"
"contact-0008","bp-0007","contact_person","true","14"
"contact-0009","bp-0007","Führung 2","true","15"
"contact-0010","bp-0008","contact_person","true","17"
"contact-0011","bp-0009","contact_person","true","21"
"contact-0012","bp-0013","contact_person","true","23"
"contact-0013","bp-0014","contact_person","true","27"
"contact-0014","bp-0016","contact_person","true","29"
"contact-0015","bp-0016","Fachkraft","true","30"
"contact-0016","bp-0017","Referentin","true","32"
"contact-0017","bp-0018","contact_person","true","34"
"contact-0018","bp-0019","contact_person","true","36"
"contact-0019","bp-0019","contact_person","true","37"
"contact-0020","bp-0020","contact_person","true","39"
"contact-0021","bp-0020","contact_person","true","40"
"contact-0022","bp-0022","Führung 1","true","44"
"contact-0023","bp-0024","Assistenz","true","46"
"contact-0024","bp-0025","contact_person","true","48"
"contact-0026","bp-0027","contact_person","true","51"
"contact-0027","bp-0028","contact_person","true","53"
"contact-0028","bp-0029","contact_person","true","55"
"contact-0029","bp-0031","Fachkraft","true","58"
"contact-0030","bp-0033","contact_person","true","62"
"contact-0031","bp-0033","contact_person","true","63"
"contact-0032","bp-0033","contact_person","true","64"
"contact-0033","bp-0033","contact_person","true","65"
"contact-0034","bp-0035","contact_person","true","67"
"contact-0035","bp-0036","contact_person","true","69"
"contact-0036","bp-0037","contact_person","true","72"
"contact-0037","bp-0040","Fachkraft","true","75"
"contact-0038","bp-0040","contact_person","true","76"
"contact-0039","bp-0041","contact_person","true","78"
"contact-0040","bp-0042","contact_person","true","81"
"contact-0041","bp-0042","contact_person","true","82"
"contact-0042","bp-0043","contact_person","true","84"
"contact-0043","bp-0044","contact_person","true","86"
"contact-0044","bp-0045","contact_person","true","88"
"contact-0045","bp-0046","contact_person","true","90"
"contact-0046","bp-0047","contact_person","true","92"
"contact-0047","bp-0048","Assistenz","true","95"
"contact-0048","bp-0048","contact_person","true","96"
"contact-0049","bp-0048","contact_person","true","97"
"contact-0050","bp-0050","contact_person","true","98"
"contact-0051","bp-0051","contact_person","true","100"
"contact-0052","bp-0052","contact_person","true","102"
"contact-0053","bp-0053","Managerin","true","105"
"contact-0054","bp-0056","contact_person","true","108"
"contact-0055","bp-0057","contact_person","true","110"
"contact-0056","bp-0057","contact_person","true","111"
"contact-0057","bp-0057","Projektmanagerin","true","112"
"contact-0058","bp-0058","Führung 2","true","114"
"contact-0059","bp-0059","contact_person","true","116"
"contact-0060","bp-0060","Assistenz","true","118"
"contact-0061","bp-0062","contact_person","true","122"
"contact-0062","bp-0064","contact_person","true","125"
"contact-0063","bp-0066","Kanzlerin","true","127"
"contact-0064","bp-0067","contact_person","true","129"
"contact-0065","bp-0068","Fachkraft","true","131"
"contact-0066","bp-0072","contact_person","true","135"
"contact-0067","bp-0073","Referentin","true","136"
"contact-0068","bp-0077","contact_person","true","140"
"contact-0070","bp-0079","Führung 1","true","144"
"contact-0071","bp-0079","contact_person","true","145"
"contact-0072","bp-0079","contact_person","true","146"
"contact-0073","bp-0079","contact_person","true","147"
"contact-0074","bp-0079","contact_person","true","148"
"contact-0076","bp-0080","contact_person","true","151"
"contact-0077","bp-0082","contact_person","true","154"
"contact-0078","bp-0085","Assistenz","true","158"
"contact-0079","bp-0086","contact_person","true","160"
"contact-0080","bp-0088","contact_person","true","163"
"contact-0081","bp-0089","contact_person","true","164"
"contact-0082","bp-0090","contact_person","true","166"
"contact-0083","bp-0090","contact_person","true","167"
"contact-0084","bp-0090","contact_person","true","168"
"contact-0085","bp-0091","contact_person","true","170"
"contact-0086","bp-0092","contact_person","true","172"
"contact-0087","bp-0093","Assistenz","true","174"
"contact-0088","bp-0094","Geschäftsführung","true","175"
"contact-0090","bp-0097","contact_person","true","180"
"contact-0091","bp-0098","contact_person","true","182"
"contact-0092","bp-0099","contact_person","true","184"
"contact-0094","bp-0100","Assistenz","true","187"
"contact-0095","bp-0101","contact_person","true","189"
"contact-0096","bp-0103","contact_person","true","192"
"contact-0097","bp-0103","contact_person","true","193"
"contact-0098","bp-0104","contact_person","true","195"
"contact-0100","bp-0105","contact_person","true","199"
"contact-0101","bp-0107","Fachkraft","true","200"
"contact-0102","bp-0105","Fachkraft","true","201"
"contact-0103","bp-0109","contact_person","true","204"
"contact-0104","bp-0109","contact_person","true","205"
"contact-0105","bp-0109","contact_person","true","206"
"contact-0106","bp-0109","contact_person","true","207"
"contact-0107","bp-0109","contact_person","true","208"
"contact-0108","bp-0109","contact_person","true","209"
"contact-0109","bp-0110","contact_person","true","211"
"contact-0110","bp-0111","contact_person","true","214"
"contact-0111","bp-0111","contact_person","true","215"
"contact-0112","bp-0113","Managerin","true","217"
"contact-0113","bp-0113","Führung 2","true","218"
"contact-0114","bp-0113","contact_person","true","219"
"contact-0115","bp-0113","Assistenz","true","220"
"contact-0116","bp-0113","Assistenz","true","221"
"contact-0118","bp-0115","contact_person","true","225"
"contact-0119","bp-0116","contact_person","true","227"
"contact-0120","bp-0119","Geschäftsführung","true","231"
"contact-0121","bp-0119","contact_person","true","232"
"contact-0122","bp-0119","Fachkraft","true","233"
"contact-0123","bp-0119","contact_person","true","234"
"contact-0124","bp-0120","Assistenz","true","236"
"contact-0125","bp-0120","Fachkraft","true","237"
"contact-0126","bp-0122","Geschäftsführung","true","241"
"contact-0127","bp-0127","Führung 1","true","246"
